"","X","Answer.time_in_minutes","rawRT","key","Answer.condition","slide_type","workerid","slide_number","image","audio","speaker_cond","logRT","rt"
"1",17,10.0197166666667,950,"No","all_QUD","trial_1",0,20,"13","some.wav","allQUD",6.85646198459459,950
"2",25,10.0197166666667,927,"No","all_QUD","trial_1",0,28,"13","some.wav","allQUD",6.83195356556585,927
"3",27,10.0197166666667,2148,"No","all_QUD","trial_1",0,30,"13","some.wav","allQUD",7.67229245562876,2148
"4",28,10.0197166666667,2031,"No","all_QUD","trial_1",0,31,"13","some.wav","allQUD",7.61628356158038,2031
"5",52,10.0197166666667,1364,"No","all_QUD","trial_2",0,55,"13","some.wav","allQUD",7.21817683840341,1364
"6",76,10.0197166666667,1913,"No","all_QUD","trial_2",0,79,"13","some.wav","allQUD",7.55642796944025,1913
"7",78,10.0197166666667,1406,"No","all_QUD","trial_2",0,81,"13","some.wav","allQUD",7.24850407237061,1406
"8",169,7.90068333333333,3639,"Yes","all_QUD","trial_1",2,11,"13","some.wav","allQUD",8.19946419761216,3639
"9",171,7.90068333333333,2065,"Yes","all_QUD","trial_1",2,13,"13","some.wav","allQUD",7.63288550539513,2065
"10",196,7.90068333333333,2097,"Yes","all_QUD","trial_1",2,38,"13","some.wav","allQUD",7.64826303090192,2097
"11",198,7.90068333333333,1874,"Yes","all_QUD","trial_1",2,40,"13","some.wav","allQUD",7.53583046279837,1874
"12",218,7.90068333333333,1513,"Yes","all_QUD","trial_2",2,60,"13","some.wav","allQUD",7.32184971378836,1513
"13",223,7.90068333333333,1673,"No","all_QUD","trial_2",2,65,"13","some.wav","allQUD",7.42237370098682,1673
"14",228,7.90068333333333,1487,"Yes","all_QUD","trial_2",2,70,"13","some.wav","allQUD",7.30451594646016,1487
"15",236,7.90068333333333,1441,"Yes","all_QUD","trial_2",2,78,"13","some.wav","allQUD",7.27309259599952,1441
"16",252,8.64223333333333,1181,"No","all_QUD","trial_1",3,14,"13","some.wav","allQUD",7.07411681619736,1181
"17",264,8.64223333333333,1261,"No","all_QUD","trial_1",3,26,"13","some.wav","allQUD",7.13966033596492,1261
"18",275,8.64223333333333,1052,"No","all_QUD","trial_1",3,37,"13","some.wav","allQUD",6.95844839329766,1052
"19",281,8.64223333333333,1165,"No","all_QUD","trial_1",3,43,"13","some.wav","allQUD",7.0604763659998,1165
"20",289,8.64223333333333,1252,"No","all_QUD","trial_2",3,51,"13","some.wav","allQUD",7.13249755166004,1252
"21",293,8.64223333333333,1197,"No","all_QUD","trial_2",3,55,"13","some.wav","allQUD",7.08757370555797,1197
"22",308,8.64223333333333,1075,"No","all_QUD","trial_2",3,70,"13","some.wav","allQUD",6.98007594056176,1075
"23",309,8.64223333333333,1285,"No","all_QUD","trial_2",3,71,"13","some.wav","allQUD",7.15851399732932,1285
"24",333,9.07166666666667,2458,"Yes","all_QUD","trial_1",4,15,"13","some.wav","allQUD",7.80710329012598,2458
"25",346,9.07166666666667,1654,"Yes","all_QUD","trial_1",4,28,"13","some.wav","allQUD",7.41095187558364,1654
"26",351,9.07166666666667,1261,"Yes","all_QUD","trial_1",4,33,"13","some.wav","allQUD",7.13966033596492,1261
"27",360,9.07166666666667,1534,"Yes","all_QUD","trial_1",4,42,"13","some.wav","allQUD",7.3356339819272,1534
"28",368,9.07166666666667,1250,"Yes","all_QUD","trial_2",4,50,"13","some.wav","allQUD",7.13089883029635,1250
"29",378,9.07166666666667,1016,"Yes","all_QUD","trial_2",4,60,"13","some.wav","allQUD",6.92362862813843,1016
"30",385,9.07166666666667,1284,"Yes","all_QUD","trial_2",4,67,"13","some.wav","allQUD",7.15773548424991,1284
"31",388,9.07166666666667,1233,"Yes","all_QUD","trial_2",4,70,"13","some.wav","allQUD",7.11720550316434,1233
"32",409,8.38155,2403,"Yes","all_QUD","trial_1",5,11,"13","some.wav","allQUD",7.78447323573647,2403
"33",417,8.38155,1816,"Yes","all_QUD","trial_1",5,19,"13","some.wav","allQUD",7.50439155916124,1816
"34",443,8.38155,1399,"Yes","all_QUD","trial_1",5,45,"13","some.wav","allQUD",7.24351297466548,1399
"35",455,8.38155,1292,"Yes","all_QUD","trial_2",5,57,"13","some.wav","allQUD",7.16394668434255,1292
"36",470,8.38155,1440,"Yes","all_QUD","trial_2",5,72,"13","some.wav","allQUD",7.27239839257005,1440
"37",476,8.38155,1409,"Yes","all_QUD","trial_2",5,78,"13","some.wav","allQUD",7.25063551189868,1409
"38",583,6.85405,1168,"Yes","all_QUD","trial_1",7,23,"13","some.wav","allQUD",7.06304816338817,1168
"39",586,6.85405,1804,"Yes","all_QUD","trial_1",7,26,"13","some.wav","allQUD",7.49776170062257,1804
"40",591,6.85405,1742,"Yes","all_QUD","trial_1",7,31,"13","some.wav","allQUD",7.46278915741245,1742
"41",592,6.85405,1256,"Yes","all_QUD","trial_1",7,32,"13","some.wav","allQUD",7.13568734702814,1256
"42",616,6.85405,1312,"Yes","all_QUD","trial_2",7,56,"13","some.wav","allQUD",7.17930796950403,1312
"43",617,6.85405,858,"Yes","all_QUD","trial_2",7,57,"13","some.wav","allQUD",6.75460409948796,858
"44",630,6.85405,1123,"Yes","all_QUD","trial_2",7,70,"13","some.wav","allQUD",7.02375895473844,1123
"45",631,6.85405,875,"Yes","all_QUD","trial_2",7,71,"13","some.wav","allQUD",6.77422388635761,875
"46",662,9.90831666666667,3202,"No","all_QUD","trial_1",8,22,"13","some.wav","allQUD",8.07153089355666,3202
"47",664,9.90831666666667,1280,"Yes","all_QUD","trial_1",8,24,"13","some.wav","allQUD",7.15461535691366,1280
"48",671,9.90831666666667,1658,"No","all_QUD","trial_1",8,31,"13","some.wav","allQUD",7.41336733569524,1658
"49",678,9.90831666666667,1258,"No","all_QUD","trial_1",8,38,"13","some.wav","allQUD",7.13727843726039,1258
"50",690,9.90831666666667,1233,"No","all_QUD","trial_2",8,50,"13","some.wav","allQUD",7.11720550316434,1233
"51",698,9.90831666666667,1342,"No","all_QUD","trial_2",8,58,"13","some.wav","allQUD",7.20191631753163,1342
"52",713,9.90831666666667,2500,"No","all_QUD","trial_2",8,73,"13","some.wav","allQUD",7.82404601085629,2500
"53",720,9.90831666666667,1288,"No","all_QUD","trial_2",8,80,"13","some.wav","allQUD",7.1608459066643,1288
"54",736,9.45505,1438,"No","all_QUD","trial_1",9,16,"13","some.wav","allQUD",7.27100853828099,1438
"55",748,9.45505,1359,"Yes","all_QUD","trial_1",9,28,"13","some.wav","allQUD",7.21450441415114,1359
"56",752,9.45505,2867,"No","all_QUD","trial_1",9,32,"13","some.wav","allQUD",7.96102146588337,2867
"57",757,9.45505,1266,"No","all_QUD","trial_1",9,37,"13","some.wav","allQUD",7.14361760270412,1266
"58",771,9.45505,1804,"No","all_QUD","trial_2",9,51,"13","some.wav","allQUD",7.49776170062257,1804
"59",776,9.45505,2115,"No","all_QUD","trial_2",9,56,"13","some.wav","allQUD",7.65681009148038,2115
"60",797,9.45505,2552,"Yes","all_QUD","trial_2",9,77,"13","some.wav","allQUD",7.84463264446468,2552
"61",801,9.45505,976,"No","all_QUD","trial_2",9,81,"13","some.wav","allQUD",6.88346258641309,976
"62",903,16.6576166666667,1612,"Yes","all_QUD","trial_1",11,22,"13","some.wav","allQUD",7.38523092306657,1612
"63",906,16.6576166666667,1081,"No","all_QUD","trial_1",11,25,"13","some.wav","allQUD",6.98564181763921,1081
"64",923,16.6576166666667,1087,"Yes","all_QUD","trial_1",11,42,"13","some.wav","allQUD",6.99117688712121,1087
"65",925,16.6576166666667,1177,"Yes","all_QUD","trial_1",11,44,"13","some.wav","allQUD",7.07072410726028,1177
"66",945,16.6576166666667,1492,"Yes","all_QUD","trial_2",11,64,"13","some.wav","allQUD",7.30787278076371,1492
"67",946,16.6576166666667,1107,"No","all_QUD","trial_2",11,65,"13","some.wav","allQUD",7.00940893270864,1107
"68",953,16.6576166666667,1031,"No","all_QUD","trial_2",11,72,"13","some.wav","allQUD",6.93828448401696,1031
"69",959,16.6576166666667,1170,"No","all_QUD","trial_2",11,78,"13","some.wav","allQUD",7.0647590277918,1170
"70",972,11.3604166666667,2112,"Yes","all_QUD","trial_1",12,11,"13","some.wav","allQUD",7.65539064482615,2112
