"audio","Answer.time_in_minutes","response","workerid","slide_type","slide_number","Answer.condition","image","speaker_cond"
"some.wav",15.1379666666667,"[1822, 'Yes']",2,"trial_1",42,"all_QUD","13","all"
"all.wav",15.1379666666667,"[2148, 'Yes']",2,"trial_1",43,"all_QUD","13","all"
"some.wav",15.1379666666667,"[1534, 'No']",2,"trial_1",44,"all_QUD","0","all"
"none.wav",15.1379666666667,"[1932, 'Yes']",2,"trial_1",45,"all_QUD","0","all"
"all.wav",15.1379666666667,"[2801, 'No']",2,"trial_1",46,"all_QUD","11","all"
"",15.1379666666667,"[0, 'Empty']",2,"comprehension_check_2",47,"all_QUD","","all"
"two.wav",15.1379666666667,"[2129, 'No']",2,"trial_2",48,"all_QUD","5","all"
"eight.wav",15.1379666666667,"[6307, 'Yes']",2,"trial_2",49,"all_QUD","8","all"
"some.wav",15.1379666666667,"[3435, 'Yes']",2,"trial_2",50,"all_QUD","2","all"
"all.wav",15.1379666666667,"[1839, 'No']",2,"trial_2",51,"all_QUD","5","all"
"none.wav",15.1379666666667,"[1950, 'Yes']",2,"trial_2",52,"all_QUD","0","all"
"all.wav",15.1379666666667,"[2230, 'Yes']",2,"trial_2",53,"all_QUD","13","all"
"ten.wav",15.1379666666667,"[3849, 'No']",2,"trial_2",54,"all_QUD","13","all"
"none.wav",15.1379666666667,"[3116, 'No']",2,"trial_2",55,"all_QUD","13","all"
"all.wav",15.1379666666667,"[2033, 'Yes']",2,"trial_2",56,"all_QUD","13","all"
"some.wav",15.1379666666667,"[2418, 'Yes']",2,"trial_2",57,"all_QUD","13","all"
"some.wav",15.1379666666667,"[2859, 'No']",2,"trial_2",58,"all_QUD","0","all"
"all.wav",15.1379666666667,"[2762, 'No']",2,"trial_2",59,"all_QUD","8","all"
"three.wav",15.1379666666667,"[1826, 'No']",2,"trial_2",60,"all_QUD","0","all"
"some.wav",15.1379666666667,"[2677, 'Yes']",2,"trial_2",61,"all_QUD","13","all"
"five.wav",15.1379666666667,"[1563, 'Yes']",2,"trial_2",62,"all_QUD","5","all"
"eight.wav",15.1379666666667,"[2848, 'Yes']",2,"trial_2",63,"all_QUD","8","all"
"two.wav",15.1379666666667,"[1608, 'Yes']",2,"trial_2",64,"all_QUD","2","all"
"one.wav",15.1379666666667,"[4196, 'No']",2,"trial_2",65,"all_QUD","11","all"
"two.wav",15.1379666666667,"[2172, 'Yes']",2,"trial_2",66,"all_QUD","2","all"
"some.wav",15.1379666666667,"[2368, 'Yes']",2,"trial_2",67,"all_QUD","13","all"
"five.wav",15.1379666666667,"[4338, 'No']",2,"trial_2",68,"all_QUD","13","all"
"some.wav",15.1379666666667,"[2497, 'Yes']",2,"trial_2",69,"all_QUD","13","all"
"all.wav",15.1379666666667,"[2115, 'No']",2,"trial_2",70,"all_QUD","11","all"
"some.wav",15.1379666666667,"[2159, 'No']",2,"trial_2",71,"all_QUD","0","all"
"some.wav",15.1379666666667,"[2479, 'Yes']",2,"trial_2",72,"all_QUD","11","all"
"eight.wav",15.1379666666667,"[2760, 'Yes']",2,"trial_2",73,"all_QUD","8","all"
"none.wav",15.1379666666667,"[1836, 'Yes']",2,"trial_2",74,"all_QUD","0","all"
"five.wav",15.1379666666667,"[1693, 'Yes']",2,"trial_2",75,"all_QUD","5","all"
"twelve.wav",15.1379666666667,"[1804, 'No']",2,"trial_2",76,"all_QUD","2","all"
"nine.wav",15.1379666666667,"[2519, 'No']",2,"trial_2",77,"all_QUD","5","all"
"all.wav",15.1379666666667,"[1339, 'Yes']",2,"trial_2",78,"all_QUD","13","all"
"eleven.wav",15.1379666666667,"[7804, 'Yes']",2,"trial_2",79,"all_QUD","11","all"
"all.wav",15.1379666666667,"[1332, 'Yes']",2,"trial_2",80,"all_QUD","13","all"
"two.wav",15.1379666666667,"[1786, 'No']",2,"trial_2",81,"all_QUD","8","all"
"all.wav",15.1379666666667,"[2605, 'No']",2,"trial_2",82,"all_QUD","0","all"
"none.wav",15.1379666666667,"[1568, 'No']",2,"trial_2",83,"all_QUD","2","all"
"",13.2705666666667,"[0, 'Jessica']",3,"bot_check",1,"all_QUD","Jessica","all"
"",13.2705666666667,"[0, 'Four']",3,"audio_check",3,"all_QUD","","all"
"",13.2705666666667,"[0, 'Empty']",3,"comprehension_check_1",4,"all_QUD","","all"
"none.wav",13.2705666666667,"[7665, 'No']",3,"practice_trial",6,"all_QUD","13","all"
"all.wav",13.2705666666667,"[4451, 'Yes']",3,"practice_trial",7,"all_QUD","13","all"
"all.wav",13.2705666666667,"[6081, 'No']",3,"practice_trial",8,"all_QUD","0","all"
"none.wav",13.2705666666667,"[4747, 'Yes']",3,"practice_trial",9,"all_QUD","0","all"
"some.wav",13.2705666666667,"[1958, 'Yes']",3,"trial_1",11,"all_QUD","13","all"
"none.wav",13.2705666666667,"[2944, 'No']",3,"trial_1",12,"all_QUD","0","all"
"thirteen.wav",13.2705666666667,"[10859, 'No']",3,"trial_1",13,"all_QUD","8","all"
"two.wav",13.2705666666667,"[4417, 'Yes']",3,"trial_1",14,"all_QUD","2","all"
"some.wav",13.2705666666667,"[2148, 'Yes']",3,"trial_1",15,"all_QUD","13","all"
"four.wav",13.2705666666667,"[2589, 'No']",3,"trial_1",16,"all_QUD","5","all"
"all.wav",13.2705666666667,"[1830, 'Yes']",3,"trial_1",17,"all_QUD","13","all"
"eight.wav",13.2705666666667,"[3581, 'Yes']",3,"trial_1",18,"all_QUD","8","all"
"all.wav",13.2705666666667,"[3053, 'Yes']",3,"trial_1",19,"all_QUD","13","all"
"some.wav",13.2705666666667,"[2496, 'No']",3,"trial_1",20,"all_QUD","0","all"
"some.wav",13.2705666666667,"[1848, 'Yes']",3,"trial_1",21,"all_QUD","8","all"
"all.wav",13.2705666666667,"[1732, 'No']",3,"trial_1",22,"all_QUD","2","all"
"five.wav",13.2705666666667,"[1741, 'No']",3,"trial_1",23,"all_QUD","0","all"
"eight.wav",13.2705666666667,"[3666, 'No']",3,"trial_1",24,"all_QUD","13","all"
"eleven.wav",13.2705666666667,"[2026, 'No']",3,"trial_1",25,"all_QUD","8","all"
"none.wav",13.2705666666667,"[7925, 'No']",3,"trial_1",26,"all_QUD","8","all"
"two.wav",13.2705666666667,"[1887, 'Yes']",3,"trial_1",27,"all_QUD","2","all"
"all.wav",13.2705666666667,"[1660, 'No']",3,"trial_1",28,"all_QUD","5","all"
"all.wav",13.2705666666667,"[2030, 'Yes']",3,"trial_1",29,"all_QUD","13","all"
"all.wav",13.2705666666667,"[2565, 'No']",3,"trial_1",30,"all_QUD","0","all"
"some.wav",13.2705666666667,"[5244, 'Yes']",3,"trial_1",31,"all_QUD","13","all"
"ten.wav",13.2705666666667,"[6849, 'No']",3,"trial_1",32,"all_QUD","5","all"
"none.wav",13.2705666666667,"[2104, 'Yes']",3,"trial_1",33,"all_QUD","0","all"
"two.wav",13.2705666666667,"[1628, 'Yes']",3,"trial_1",34,"all_QUD","2","all"
"eleven.wav",13.2705666666667,"[2128, 'No']",3,"trial_1",35,"all_QUD","0","all"
"some.wav",13.2705666666667,"[2114, 'No']",3,"trial_1",36,"all_QUD","0","all"
"none.wav",13.2705666666667,"[1885, 'Yes']",3,"trial_1",37,"all_QUD","0","all"
"five.wav",13.2705666666667,"[2175, 'Yes']",3,"trial_1",38,"all_QUD","5","all"
"two.wav",13.2705666666667,"[1974, 'Yes']",3,"trial_1",39,"all_QUD","2","all"
"some.wav",13.2705666666667,"[2469, 'Yes']",3,"trial_1",40,"all_QUD","5","all"
"eleven.wav",13.2705666666667,"[14303, 'Yes']",3,"trial_1",41,"all_QUD","11","all"
"some.wav",13.2705666666667,"[1796, 'Yes']",3,"trial_1",42,"all_QUD","13","all"
"eight.wav",13.2705666666667,"[3754, 'Yes']",3,"trial_1",43,"all_QUD","8","all"
"all.wav",13.2705666666667,"[1885, 'No']",3,"trial_1",44,"all_QUD","11","all"
"all.wav",13.2705666666667,"[1815, 'Yes']",3,"trial_1",45,"all_QUD","13","all"
"seven.wav",13.2705666666667,"[3891, 'No']",3,"trial_1",46,"all_QUD","11","all"
"",13.2705666666667,"[0, 'Empty']",3,"comprehension_check_2",47,"all_QUD","","all"
"all.wav",13.2705666666667,"[1967, 'Yes']",3,"trial_2",48,"all_QUD","13","all"
"some.wav",13.2705666666667,"[2591, 'No']",3,"trial_2",49,"all_QUD","13","all"
"all.wav",13.2705666666667,"[1694, 'No']",3,"trial_2",50,"all_QUD","5","all"
"three.wav",13.2705666666667,"[1803, 'No']",3,"trial_2",51,"all_QUD","0","all"
"some.wav",13.2705666666667,"[3120, 'No']",3,"trial_2",52,"all_QUD","0","all"
"some.wav",13.2705666666667,"[4961, 'No']",3,"trial_2",53,"all_QUD","13","all"
"some.wav",13.2705666666667,"[5341, 'Yes']",3,"trial_2",54,"all_QUD","2","all"
"none.wav",13.2705666666667,"[3865, 'No']",3,"trial_2",55,"all_QUD","13","all"
"one.wav",13.2705666666667,"[2104, 'No']",3,"trial_2",56,"all_QUD","11","all"
"two.wav",13.2705666666667,"[3151, 'No']",3,"trial_2",57,"all_QUD","2","all"
"eight.wav",13.2705666666667,"[4425, 'Yes']",3,"trial_2",58,"all_QUD","8","all"
