"","X","audio","Answer.condition","Answer.time_in_minutes","workerid","rawRT","key","slide_type","image","slide_number","speaker_cond","logRT","rt"
"1",11,"summa.wav","all_QUD",8.93818333333333,0,1489,"No","trial_1","13",14,"allQUD",7.30586003268401,1489
"2",23,"summa.wav","all_QUD",8.93818333333333,0,884,"No","trial_1","13",26,"allQUD",6.78445706263764,884
"3",26,"summa.wav","all_QUD",8.93818333333333,0,884,"No","trial_1","13",29,"allQUD",6.78445706263764,884
"4",40,"summa.wav","all_QUD",8.93818333333333,0,1632,"No","trial_1","13",43,"allQUD",7.39756153552405,1632
"5",49,"summa.wav","all_QUD",8.93818333333333,0,1635,"No","trial_2","13",52,"allQUD",7.39939808333135,1635
"6",59,"summa.wav","all_QUD",8.93818333333333,0,931,"No","trial_2","13",62,"allQUD",6.83625927727707,931
"7",68,"summa.wav","all_QUD",8.93818333333333,0,1009,"No","trial_2","13",71,"allQUD",6.91671502035361,1009
"8",72,"summa.wav","all_QUD",8.93818333333333,0,884,"No","trial_2","13",75,"allQUD",6.78445706263764,884
"9",88,"summa.wav","all_QUD",9.99958333333333,1,2012,"No","trial_1","13",11,"allQUD",7.60688453121963,2012
"10",104,"summa.wav","all_QUD",9.99958333333333,1,2371,"No","trial_1","13",27,"allQUD",7.77106708606541,2371
"11",108,"summa.wav","all_QUD",9.99958333333333,1,2501,"No","trial_1","13",31,"allQUD",7.82444593087762,2501
"12",109,"summa.wav","all_QUD",9.99958333333333,1,2012,"No","trial_1","13",32,"allQUD",7.60688453121963,2012
"13",127,"summa.wav","all_QUD",9.99958333333333,1,1636,"No","trial_2","13",50,"allQUD",7.40000951716269,1636
"14",133,"summa.wav","all_QUD",9.99958333333333,1,1686,"No","trial_2","13",56,"allQUD",7.4301141385618,1686
"15",143,"summa.wav","all_QUD",9.99958333333333,1,1343,"No","trial_2","13",66,"allQUD",7.20266119652324,1343
"16",148,"summa.wav","all_QUD",9.99958333333333,1,1890,"No","trial_2","13",71,"allQUD",7.54433210805369,1890
"17",179,"summa.wav","all_QUD",11.4888,2,2457,"Yes","trial_1","13",21,"allQUD",7.80669637252118,2457
"18",182,"summa.wav","all_QUD",11.4888,2,2673,"No","trial_1","13",24,"allQUD",7.89095671613892,2673
"19",202,"summa.wav","all_QUD",11.4888,2,2257,"Yes","trial_1","13",44,"allQUD",7.72179177681754,2257
"20",211,"summa.wav","all_QUD",11.4888,2,2201,"Yes","trial_2","13",53,"allQUD",7.69666708152646,2201
"21",214,"summa.wav","all_QUD",11.4888,2,1633,"Yes","trial_2","13",56,"allQUD",7.39817409297047,1633
"22",233,"summa.wav","all_QUD",11.4888,2,1935,"Yes","trial_2","13",75,"allQUD",7.56786260546388,1935
"23",239,"summa.wav","all_QUD",11.4888,2,2514,"Yes","trial_2","13",81,"allQUD",7.82963038915019,2514
"24",250,"summa.wav","all_QUD",14.44035,3,2581,"Yes","trial_1","13",12,"allQUD",7.85593219971861,2581
"25",259,"summa.wav","all_QUD",14.44035,3,2898,"Yes","trial_1","13",21,"allQUD",7.97177612288063,2898
"26",272,"summa.wav","all_QUD",14.44035,3,1884,"Yes","trial_1","13",34,"allQUD",7.54115245513631,1884
"27",278,"summa.wav","all_QUD",14.44035,3,1841,"Yes","trial_1","13",40,"allQUD",7.51806418123308,1841
"28",293,"summa.wav","all_QUD",14.44035,3,1757,"Yes","trial_2","13",55,"allQUD",7.4713630881871,1757
"29",301,"summa.wav","all_QUD",14.44035,3,1677,"Yes","trial_2","13",63,"allQUD",7.42476176182321,1677
"30",309,"summa.wav","all_QUD",14.44035,3,1997,"Yes","trial_2","13",71,"allQUD",7.59940133341582,1997
"31",312,"summa.wav","all_QUD",14.44035,3,1741,"Yes","trial_2","13",74,"allQUD",7.46221493976819,1741
"32",329,"summa.wav","all_QUD",12.4746,4,2053,"Yes","trial_1","13",11,"allQUD",7.62705741701893,2053
"33",341,"summa.wav","all_QUD",12.4746,4,3761,"Yes","trial_1","13",23,"allQUD",8.23244015847034,3761
"34",361,"summa.wav","all_QUD",12.4746,4,3262,"Yes","trial_1","13",43,"allQUD",8.09009578318096,3262
"35",364,"summa.wav","all_QUD",12.4746,4,3099,"No","trial_1","13",46,"allQUD",8.03883475778775,3099
"36",367,"summa.wav","all_QUD",12.4746,4,2535,"No","trial_2","13",49,"allQUD",7.83794891602528,2535
"37",383,"summa.wav","all_QUD",12.4746,4,3154,"No","trial_2","13",65,"allQUD",8.05642676752298,3154
"38",401,"summa.wav","all_QUD",12.4746,4,3761,"Yes","trial_2","13",83,"allQUD",8.23244015847034,3761
"39",412,"summa.wav","all_QUD",8.74741666666667,5,2386,"No","trial_1","13",14,"allQUD",7.77737360265786,2386
"40",419,"summa.wav","all_QUD",8.74741666666667,5,2125,"No","trial_1","13",21,"allQUD",7.66152708135852,2125
"41",428,"summa.wav","all_QUD",8.74741666666667,5,1823,"No","trial_1","13",30,"allQUD",7.50823877467866,1823
"42",440,"summa.wav","all_QUD",8.74741666666667,5,1843,"No","trial_1","13",42,"allQUD",7.51914995766982,1843
"43",451,"summa.wav","all_QUD",8.74741666666667,5,2106,"No","trial_2","13",53,"allQUD",7.65254569269392,2106
"44",454,"summa.wav","all_QUD",8.74741666666667,5,2718,"No","trial_2","13",56,"allQUD",7.90765159471109,2718
"45",470,"summa.wav","all_QUD",8.74741666666667,5,1946,"Yes","trial_2","13",72,"allQUD",7.57353126274595,1946
"46",478,"summa.wav","all_QUD",8.74741666666667,5,1667,"Yes","trial_2","13",80,"allQUD",7.41878088275079,1667
"47",500,"summa.wav","all_QUD",10.6212,6,1594,"Yes","trial_1","13",22,"allQUD",7.37400185935016,1594
"48",507,"summa.wav","all_QUD",10.6212,6,2342,"Yes","trial_1","13",29,"allQUD",7.75876054415766,2342
"49",508,"summa.wav","all_QUD",10.6212,6,1184,"No","trial_1","13",30,"allQUD",7.07665381544395,1184
"50",527,"summa.wav","all_QUD",10.6212,6,1008,"No","trial_2","13",49,"allQUD",6.91572344863131,1008
"51",531,"summa.wav","all_QUD",10.6212,6,996,"No","trial_2","13",53,"allQUD",6.9037472575846,996
"52",554,"summa.wav","all_QUD",10.6212,6,1094,"No","trial_2","13",76,"allQUD",6.99759598298193,1094
"53",555,"summa.wav","all_QUD",10.6212,6,1129,"No","trial_2","13",77,"allQUD",7.02908756414966,1129
